Sample,X,Y,Z
0,1.0730,0.0669,0.0725
1,0.9343,-0.1077,-0.0398
2,1.0515,0.0190,0.0903
3,0.9966,-0.0869,0.0354
4,0.9321,-0.0317,-0.1255
5,1.0776,-0.0505,0.1189
6,1.0066,0.0322,0.0137
7,0.9985,0.0625,-0.0317
8,1.0476,-0.0127,0.0867
9,0.9790,-0.0291,0.0767
10,0.9863,0.0125,-0.0212
11,1.0398,-0.0037,-0.0015
12,0.9841,0.0337,-0.0073
13,0.9871,-0.0398,-0.0508
14,1.0444,0.0305,0.0349
15,1.0388,0.0332,0.0078
16,0.9812,-0.0208,-0.0234
17,1.0710,0.0244,0.1028
18,1.0015,-0.0505,0.0356
19,1.0320,-0.0601,-0.0427
20,1.0942,0.1338,-0.0039
21,1.0193,-0.0752,0.0527
22,1.0603,-0.0051,0.0322
23,0.9790,0.1536,-0.0247
24,0.9685,-0.1460,0.0667
25,1.0701,-0.0420,0.0383
26,1.0015,0.0276,-0.0496
27,1.0291,-0.0728,0.0417
28,1.1724,0.1504,0.0769
29,0.8796,0.0474,-0.1133
30,0.9370,-0.1975,0.0442
31,1.0671,-0.0098,0.0920
32,0.8904,-0.0518,-0.1099
33,1.0142,0.0000,0.0872
34,1.0935,0.1099,0.0493
35,0.9490,-0.1018,-0.0156
36,1.0649,0.0408,0.0500
37,1.0435,0.0505,0.0376
38,0.9597,-0.0623,-0.0166
39,1.0620,0.0391,0.0024
40,0.9851,-0.0051,0.0505
41,1.0083,0.0020,-0.0420
42,0.9927,0.0430,0.0388
43,1.0066,-0.0571,0.0596
44,0.9685,-0.0872,-0.0574
45,1.0796,-0.0149,-0.0107
46,1.0193,0.0178,0.1504
47,0.9578,0.0327,-0.0913
48,1.0017,-0.1416,0.0752
49,1.0815,0.0244,-0.0205
50,0.9607,-0.0278,-0.0840
51,1.1382,0.0779,0.1118
52,1.0544,0.0544,0.0640
53,0.9045,0.0654,0.0098
54,1.0457,-0.0911,0.0613
55,1.0054,-0.1057,0.0032
56,1.0261,-0.0374,-0.0151
57,0.9819,0.1169,0.0156
58,1.0837,-0.0847,0.0654
59,0.9263,0.0642,-0.0759
60,1.0493,-0.1582,-0.0408
61,1.1482,0.0693,0.1355
62,1.0281,0.0938,-0.0259
