Sample,X,Y,Z
0,1.0708,0.0286,-0.0125
1,1.0552,0.0125,0.0200
2,1.0203,-0.0613,-0.0410
3,1.0876,0.0154,0.1262
4,0.9773,-0.0129,-0.0396
5,1.0046,-0.0413,-0.0269
6,1.0867,0.0610,0.0500
7,0.9448,-0.0173,-0.1057
8,1.0444,-0.0422,0.0757
9,1.0513,0.0940,0.0554
10,0.9116,-0.0713,-0.0459
11,1.0496,0.0698,-0.0630
12,1.0493,-0.0884,0.0532
13,1.0134,0.0103,-0.0693
14,1.1013,-0.0125,0.0261
15,1.0613,0.0056,0.0286
16,1.0066,-0.0024,-0.0942
17,1.0103,-0.0591,0.0024
18,1.0767,-0.0327,0.1113
19,1.0037,0.0994,-0.0608
20,1.0007,-0.1042,0.0488
21,1.0532,0.1028,0.0664
22,0.9500,-0.0896,-0.0347
23,1.0249,0.0767,-0.0750
24,1.0854,-0.0076,0.0811
25,1.0066,-0.0012,-0.0288
26,1.0544,0.0486,-0.0032
27,1.0623,-0.0405,0.0576
28,0.9792,-0.0635,0.0032
29,1.0776,0.0364,0.0164
30,0.9941,-0.0586,-0.0369
31,1.0779,-0.0449,-0.0449
32,1.1108,0.0144,0.0029
33,0.9321,0.0964,0.0247
34,0.9692,-0.0359,0.0352
35,1.0034,-0.1082,-0.0139
36,0.9507,0.0872,-0.0410
37,1.0601,-0.0796,0.1196
38,1.1125,0.0930,-0.0376
39,0.9165,-0.0371,-0.0847
40,1.0105,-0.1003,0.1033
41,1.1101,0.0850,-0.0613
42,0.9946,-0.1245,-0.0347
43,1.1082,0.0405,0.0132
44,1.1128,0.0752,0.0630
45,0.9058,-0.0435,-0.0110
46,1.0417,-0.0432,-0.0483
47,1.0554,-0.0122,0.0222
48,1.0200,0.0940,-0.0156
49,0.9468,-0.0203,0.0435
50,1.0815,-0.0244,0.0481
51,0.9292,0.0054,0.0403
52,0.9988,-0.1270,0.0007
53,1.1335,0.0371,0.0422
54,0.9331,0.0684,-0.1199
55,0.9409,-0.1108,-0.0110
56,1.1196,0.0645,-0.0146
57,0.9431,-0.0325,-0.1548
58,1.0981,-0.0317,0.1333
59,1.0776,0.1262,0.0771
60,0.8979,-0.1658,-0.0781
61,1.1316,0.0083,0.1677
62,1.0107,0.0693,0.0132
63,0.9407,-0.0637,-0.1138
64,1.1140,0.0728,0.0908
65,0.9060,-0.0071,-0.1421
66,1.0195,-0.1099,-0.0566
67,1.1655,0.1633,0.0171
68,0.9001,-0.1672,-0.0142
69,1.0769,0.0291,0.0378
70,1.0435,0.0229,0.0659
71,0.9167,-0.0942,-0.0845
72,1.1392,0.0234,0.0811
73,0.9937,0.0159,0.0356
74,0.9685,-0.1077,-0.0225
75,1.1023,0.1548,0.0110
76,0.8904,-0.1047,0.0103
77,0.9995,0.0386,-0.0247
78,1.0261,0.0200,0.0461
79,0.9431,-0.0679,-0.0532
80,1.0427,-0.0063,0.0251
81,1.0339,0.0393,-0.0327
82,1.0437,-0.0959,-0.0137
83,1.0825,0.0559,0.0247
84,0.9956,-0.0291,0.0354
85,1.0544,-0.0222,0.0103
86,1.0356,0.0144,-0.0015
87,0.9490,-0.0706,0.0840
88,1.0457,0.0444,0.0071
89,0.9968,-0.0171,0.0461
90,1.0251,-0.0359,0.0408
91,0.9802,0.1086,-0.0828
92,0.9880,-0.0952,-0.0046
93,1.0505,-0.0598,0.0925
94,0.9773,0.0879,-0.1167
95,1.0698,-0.0552,0.0625
96,1.0698,0.1086,0.0320
97,0.9653,-0.1501,0.0217
98,1.1267,-0.0208,0.1589
99,1.0991,0.0420,0.0422
100,0.8689,0.0024,0.0300
101,1.1355,-0.0798,0.0669
102,0.9790,0.0874,-0.0291
103,0.9819,0.0063,-0.0100
104,1.0903,0.0703,0.1519
105,1.0181,-0.0742,0.0305
106,0.9614,0.0344,0.0437
107,1.1150,-0.0728,0.0559
108,1.1050,-0.0195,0.0015
109,0.9753,-0.0200,0.0518
110,1.0452,-0.0178,-0.0022
111,1.1248,-0.0146,-0.0674
112,1.0034,0.1077,0.0435
113,1.0112,-0.0574,0.0430
114,1.0894,-0.0217,0.0806
115,0.9441,-0.0151,0.0713
116,0.9333,-0.0493,-0.0281
117,1.1384,0.0310,0.0513
118,0.9353,0.0522,-0.0496
119,0.9109,-0.1272,-0.0164
120,1.1694,0.1335,-0.0286
121,0.9568,-0.0562,0.0190
122,1.0337,-0.0647,0.0137
123,1.0913,0.0637,-0.0112
124,0.9438,-0.0828,0.0435
125,1.0122,-0.0024,-0.0249
126,1.0173,0.0247,-0.0720
127,0.9478,-0.0105,0.0640
128,0.9871,-0.0081,0.0737
129,0.9858,-0.0571,-0.0088
