Sample,X,Y,Z
0,1.0886,-0.0291,-0.0437
1,1.0916,-0.1040,0.0676
2,1.0144,-0.0137,-0.0659
3,1.0962,-0.1074,0.0469
4,1.0288,-0.1279,-0.0271
5,0.9585,-0.1462,-0.0344
6,1.0786,-0.1755,0.0220
7,1.0737,-0.0085,0.0264
8,1.0505,-0.0730,-0.0249
9,0.9634,0.0339,-0.0469
10,1.0952,-0.0723,-0.0156
11,1.0054,0.1216,0.1143
12,0.9399,0.0891,-0.0354
13,0.9868,0.0388,0.0776
14,0.9812,0.0493,-0.0579
15,0.9011,0.0276,-0.0283
16,1.0603,0.0486,-0.0034
17,0.9973,0.1235,-0.0466
18,0.9321,-0.0591,-0.0581
19,0.9917,0.0027,0.0852
20,1.0378,0.0916,-0.0034
21,0.9255,-0.0349,-0.0532
22,1.0278,0.0786,-0.0063
23,0.9333,-0.0938,-0.0381
24,1.0063,0.1650,0.1042
25,0.9839,-0.0510,-0.0073
26,0.9829,-0.0615,0.0806
27,1.0112,0.0081,-0.0198
28,0.9619,-0.1277,0.0894
29,1.1804,0.0403,-0.0757
30,0.9404,0.0208,0.0146
31,1.0427,-0.0754,-0.0066
32,1.0271,-0.1797,-0.0352
33,1.0623,0.0513,-0.0432
34,1.0525,-0.0017,0.0481
35,1.0671,-0.0029,0.0684
36,0.9158,0.0254,0.0198
37,0.9744,-0.2029,0.0557
38,1.0691,0.1284,0.0032
39,0.9634,0.0701,0.0164
40,0.9587,0.0344,0.0510
41,1.0076,0.0498,0.0310
42,0.8452,-0.0576,0.0132
43,1.1169,0.0874,0.0522
44,1.0396,0.1160,-0.0078
45,1.0203,0.0361,0.0139
46,1.1208,0.1125,0.0500
47,0.9402,0.0479,0.0522
48,0.9194,-0.0356,-0.0146
49,1.1021,0.0354,0.0232
50,0.9858,0.0330,0.0642
51,1.0046,0.0276,0.0190
52,1.1401,-0.1230,0.0557
53,0.9958,0.0247,-0.0505
54,0.9939,-0.1501,0.0613
55,1.1453,0.0613,-0.0212
56,1.0544,-0.1750,-0.0063
57,1.0679,0.1362,-0.0317
58,1.0942,-0.1499,0.0330
59,1.0220,0.0547,-0.0212
60,0.9919,-0.2734,-0.0022
61,1.0581,0.1492,-0.0151
62,1.0134,-0.0205,-0.0474
63,0.8904,-0.1140,0.1150
64,1.1589,-0.1575,0.0432
65,0.9563,0.1157,-0.0588
66,1.0005,-0.0288,0.0735
67,1.0476,0.0393,-0.0557
68,1.0154,-0.0981,-0.0676
69,1.0330,0.1411,0.0371
70,1.0542,0.0127,0.0403
71,0.9448,0.0906,-0.0938
72,0.9148,-0.2229,-0.0869
73,1.2908,0.2153,0.0576
74,0.9775,0.1033,0.0017
75,0.8982,-0.0020,0.0671
76,0.9399,-0.1021,0.0378
77,0.8718,0.0276,-0.0842
78,1.0884,-0.0046,0.0837
79,1.1157,0.2839,0.0088
80,0.8132,-0.2207,-0.0083
81,1.0679,0.0732,0.0010
82,1.0737,-0.0522,-0.0627
83,1.0972,0.0593,0.0576
84,0.9985,-0.0928,0.0161
85,1.0229,0.0310,-0.0750
86,0.9792,-0.2483,0.0120
87,1.0972,0.0828,0.0046
88,1.0320,-0.1572,0.0444
89,1.0779,-0.0325,0.0588
90,1.0720,-0.0793,0.0015
91,0.9634,-0.0977,0.0464
92,1.0737,0.1106,0.0598
93,0.9666,-0.1238,-0.0957
94,1.0867,0.1060,0.1411
95,1.0017,0.0078,-0.0876
96,0.9822,-0.1086,-0.1519
97,1.2341,0.1011,0.1121
98,0.9333,0.0520,-0.0376
99,1.0906,0.0688,-0.0085
100,1.0083,0.0129,0.0217
101,0.8979,-0.1895,-0.0303
102,1.0981,0.1494,-0.0486
103,0.9614,-0.0054,0.1323
104,0.9663,0.0566,-0.1150
105,1.0278,-0.0613,0.0737
106,0.9956,0.0859,0.0278
107,0.9722,-0.1895,-0.0093
108,1.1726,0.2180,0.0247
109,0.8735,-0.1978,0.0212
110,1.0903,-0.0054,0.0046
111,1.1101,-0.0488,-0.0188
112,0.9070,-0.0061,-0.0610
113,1.1072,-0.1289,-0.0039
114,1.0837,0.0325,-0.0166
115,0.8884,-0.1038,-0.0100
116,1.1375,0.0769,0.0991
117,1.0288,-0.1968,0.0400
118,1.0073,0.1528,-0.0413
119,0.9907,-0.1743,0.0894
120,1.1423,0.1560,0.0818
121,0.7625,-0.0015,-0.1133
122,1.0601,0.0105,0.0920
123,1.0073,-0.1104,0.0378
124,0.9575,0.1816,-0.0830
125,1.0581,-0.1704,0.0295
126,1.0740,0.2051,-0.0601
127,0.9087,-0.1248,0.0830
128,1.0662,0.0425,0.0740
129,1.0369,0.0420,-0.0322
130,0.8767,-0.0657,0.0264
131,1.1392,-0.0173,0.0854
132,0.9487,0.2195,-0.0554
133,0.9604,-0.2202,0.0969
134,1.0974,0.0781,0.0989
135,0.8950,0.0022,-0.2209
136,1.0964,-0.1426,0.2000
137,1.1675,0.2429,-0.0598
138,0.7971,-0.1201,-0.1221
139,1.1392,-0.0444,0.1191
140,1.0811,-0.0159,0.0059
141,0.9468,0.0374,0.0398
142,1.1313,-0.0232,-0.0364
143,1.0015,0.0044,0.0481
144,0.9011,-0.0637,-0.0339
145,1.0857,-0.0193,0.1008
146,1.0903,0.0049,0.0593
147,0.9194,-0.0342,-0.0874
148,1.1152,-0.1602,0.0647
149,1.0730,0.1868,-0.0466
150,0.8298,-0.1621,0.0427
151,1.2085,0.0979,-0.0576
152,0.9263,0.0420,0.0049
153,0.9382,-0.1433,-0.0042
154,1.1238,0.0364,0.0315
155,1.0525,0.0774,0.0359
