Sample,X,Y,Z
0,1.2625,0.0173,0.2341
1,0.8748,-0.0254,-0.1665
2,0.8960,-0.1787,-0.0037
3,1.3611,0.1421,0.0376
4,0.8914,-0.2620,-0.0532
5,1.1013,0.0918,-0.0117
6,1.1245,-0.1875,0.1614
7,1.0034,-0.0686,-0.1177
8,1.0249,-0.0193,0.0212
9,1.0935,0.1179,0.0110
10,1.0327,-0.0981,0.0454
11,1.0435,0.1326,0.0151
12,0.9148,-0.1704,0.0886
13,1.1138,0.1985,0.0750
14,0.9165,0.0117,0.0063
15,0.8933,0.0227,-0.0383
16,1.1665,0.0132,0.0940
17,0.9221,0.0979,-0.1519
18,0.9888,-0.1323,0.0525
19,1.1794,0.1570,0.0181
20,0.8420,-0.0107,-0.1887
21,1.0845,0.0591,0.0144
22,1.0906,0.0449,0.0417
23,0.8882,-0.0212,-0.0916
24,1.0425,-0.1377,0.1047
25,1.0974,0.1982,0.1226
26,0.7905,-0.2163,-0.0222
27,1.1345,0.0273,0.1421
28,1.0493,-0.0632,0.0874
29,0.9148,-0.0618,-0.0742
30,1.2046,0.0161,0.0549
31,1.0339,-0.0173,0.0554
32,0.9021,-0.1189,-0.0479
33,1.2397,0.0466,0.0198
34,0.9871,-0.0298,-0.0291
35,0.9175,0.0010,0.0020
36,1.1687,-0.0640,0.0901
37,0.9744,0.0596,0.0933
38,0.8394,-0.1482,-0.0881
39,1.1274,0.0603,-0.0383
40,0.9771,0.1292,-0.0508
41,0.7712,-0.0837,-0.0347
42,1.2175,0.1138,0.0242
43,0.9070,0.0471,0.0088
44,0.8987,-0.0352,-0.1636
45,1.2788,0.1426,0.0591
46,0.9333,0.0415,0.0825
47,0.8315,-0.1133,-0.0667
48,1.2983,0.2458,0.0645
49,0.8618,-0.0532,0.0320
50,0.9561,-0.1838,-0.0725
51,1.2019,0.2607,0.0027
52,0.8357,-0.3174,0.1423
53,0.9956,0.0989,-0.1096
54,1.0969,0.0605,0.0347
55,0.9446,-0.1748,0.0811
56,1.0994,0.0134,-0.0208
57,1.0935,-0.0220,0.0298
58,0.9871,-0.0146,-0.0754
59,1.1069,0.0127,-0.0696
60,1.0398,-0.1040,0.0132
61,1.1375,0.0452,0.1104
62,0.9172,-0.0674,-0.0640
63,1.0317,-0.0620,0.0615
64,1.0024,0.0005,0.0261
65,1.0369,-0.0449,0.0098
66,1.0554,0.1289,0.0537
67,0.9946,-0.1091,0.1724
68,0.9226,0.0598,-0.0547
69,1.0339,-0.0066,0.0020
70,1.2175,0.0972,0.1772
71,0.9106,0.0955,-0.1189
72,1.0015,-0.1558,-0.0042
73,1.1235,0.0808,0.0706
74,0.9265,0.1116,-0.1062
75,1.0300,-0.0249,0.0828
76,1.0825,-0.0295,0.1050
77,0.8445,-0.1555,0.0103
78,1.0757,-0.0051,-0.0105
79,1.1482,0.1685,0.0701
80,0.8152,-0.1243,0.0085
81,1.0142,-0.0447,-0.0510
82,1.0962,0.0049,0.1763
83,0.9373,-0.0933,-0.1560
84,1.0828,0.0435,0.0769
85,1.0632,0.0283,-0.0449
86,0.9263,-0.2402,-0.0820
87,1.2046,0.1514,0.0562
88,0.8962,-0.0247,-0.0645
89,1.0107,-0.2183,0.0637
90,1.1326,0.1597,-0.0220
91,0.8555,-0.1616,-0.0627
92,1.0984,0.1074,0.0420
93,1.0349,-0.0381,0.0557
94,0.8074,-0.0491,-0.1616
95,1.2537,0.0254,0.1748
96,0.9958,0.1060,0.0430
97,0.8608,-0.1230,-0.0974
98,1.1108,0.1506,0.0208
99,1.0632,-0.0745,0.0173
100,0.8696,0.0244,-0.0540
101,1.1580,0.0784,0.0227
102,1.0544,-0.0605,0.0613
103,0.9324,0.0808,-0.0022
104,1.0474,-0.0720,0.1172
105,1.0327,-0.0198,0.0767
106,0.9517,-0.0229,0.1008
107,0.9597,-0.1152,0.0347
108,1.1938,0.0974,0.0569
109,0.9917,-0.1067,0.0105
110,1.0671,-0.0291,0.0107
111,1.0923,0.0813,0.0151
112,0.8862,-0.1677,-0.0518
113,1.0786,0.0508,-0.0747
114,1.1572,-0.0408,0.1313
115,1.0613,-0.1289,-0.0222
116,1.1433,0.0588,-0.0244
117,1.0642,-0.0349,0.0371
118,0.9373,-0.0422,0.0942
119,0.9678,0.0400,-0.1072
120,1.0220,-0.1179,0.0559
121,1.0662,0.0881,-0.1079
122,1.0015,-0.0459,0.0591
123,1.1172,0.0593,0.1050
124,0.8679,0.0127,-0.1968
125,1.0181,-0.1265,-0.0381
126,1.1538,0.1436,0.0562
127,0.9138,-0.0149,-0.0613
128,1.0132,0.0239,0.0342
129,1.0337,-0.0596,-0.0156
130,0.9451,0.0234,-0.1091
131,1.0366,-0.0156,0.0688
132,1.0271,0.0361,0.0642
133,0.9509,-0.0488,-0.0674
134,1.0203,0.0562,0.0703
135,1.0330,-0.0137,0.1140
136,0.9878,-0.1548,-0.0247
137,1.0176,0.0818,0.0312
138,1.0164,-0.0083,-0.0876
139,1.1401,-0.0566,0.1846
140,1.0425,0.1658,-0.1250
141,0.8386,-0.2524,-0.0476
142,1.2263,0.0503,0.1406
143,0.8665,-0.0439,-0.1062
144,1.0134,-0.0618,-0.0620
145,1.1743,0.0847,0.1396
146,0.8865,-0.0413,-0.1660
147,0.9517,-0.0874,0.0371
148,1.1462,0.2156,0.1306
149,0.6831,-0.2466,-0.1565
150,1.2332,0.0828,0.0603
151,1.0815,0.0864,0.0706
152,0.8198,-0.0278,-0.1960
153,1.1499,0.1038,0.0835
154,0.9146,-0.0557,-0.0398
155,0.9087,-0.0750,-0.0459
156,1.2341,0.1375,0.1038
157,0.9390,-0.0818,0.0269
158,0.9302,-0.1113,-0.0820
159,1.1926,0.1855,0.0842
160,0.8247,-0.0352,-0.0056
161,0.9780,-0.0449,0.0552
162,1.0620,0.0259,0.0601
163,0.9607,-0.0337,-0.0676
164,1.1177,0.0613,-0.0466
165,1.0261,-0.0430,0.1057
166,0.9250,-0.0742,-0.0046
167,1.0291,0.0383,-0.1123
168,1.1140,0.0229,0.0359
169,1.0066,-0.0413,0.0347
170,1.0183,-0.0596,-0.0928
171,1.0854,0.0037,0.0303
172,1.0356,-0.0298,0.2324
173,1.0151,0.0430,-0.0740
174,1.0662,0.0120,0.1091
175,0.9495,-0.0969,0.0388
176,0.9751,0.0244,-0.0486
177,1.0776,0.1208,0.0596
178,0.9653,-0.1011,0.0327
179,1.0681,0.0247,-0.0139
180,1.0386,0.0312,-0.0132
181,0.9351,-0.1421,0.0305
182,1.1023,0.0449,-0.0537
